endTime,artistName,trackName,msPlayed
2019-07-20 18:29:00,Gacha Bakradze,Gather,374649
2019-07-20 18:33:00,Cool Maritime,Climbing Up,259647
2019-07-20 18:41:00,Beatrice Dillon,Fluo,502161
2019-07-20 18:47:00,Ploy,Footprints In Solid Rock - Beatrice Dillon Remix,338374
2019-07-20 18:53:00,Cremation Lily,Quiet Preparation (Timetable),356245
2019-07-20 18:57:00,Kelly Lee Owens,Anxi.,227258
2019-07-20 19:02:00,Pjusk,Attende,316000
2019-07-20 19:07:00,Flame 1,Fog,313270
2019-07-20 19:21:00,Grant,Mainstream Belief,188914
2019-07-21 17:47:00,Grant,Mainstream Belief,111301
2019-07-21 17:55:00,Auscultation,Lost You in the Fog,533106
2019-07-21 18:00:00,Mark Pritchard,Give It Your Choir - Instrumental,270546
2019-07-21 18:10:00,Mukqs,ゾッド,582769
2019-07-21 18:16:00,Ulises Conti,"161,1",358862
2019-07-21 18:19:00,Nutrition,Dream Walk,225136
2019-07-21 18:24:00,Psychic Health,Ryso,265387
2019-07-21 18:29:00,Body Boys,Syringe II,314566
2019-07-21 18:34:00,Patricia,Liminal States,303302
2019-07-21 18:39:00,Croatian Amor,Any Life You Want,212261
2019-07-21 18:49:00,Auscultation,Vanda,617279
2019-07-21 18:55:00,Skee Mask,Routine,344982
2019-07-21 18:59:00,NHK yx Koyxen,Meeting,243413
2019-07-21 19:05:00,Ertoz,Bergen,350322
2019-07-21 19:09:00,UMFANG,Weight,271237
2019-07-21 19:12:00,Bengalfuel,The Pier,194000
2019-07-21 19:27:00,Journeymann Trax,Jade Tour (feat. D Tiffany),273284
2019-07-21 19:37:00,Journeymann Trax,Jade Tour (feat. D Tiffany),156439
2019-07-21 19:43:00,Friendly Chemist,Mist/Haze,348230
2019-07-21 19:50:00,J Albert,All In,424807
2019-07-21 19:57:00,Ross from Friends,Talk to Me You'll Understand,417099
2019-07-21 20:01:00,Photay,Storm,198881
2019-07-21 20:06:00,Sophia Loizou,Divine Interference,333786
2019-07-21 20:12:00,Shore,A Hundred Times,356461
2019-07-21 20:19:00,Andy Stott,Faith in Strangers,389186
2019-07-21 20:31:00,Ben Fehr,Lock,158426
2019-07-21 20:35:00,Ben Fehr,Lock,76506
2019-07-21 20:38:00,Alesso,Take My Breath Away,188710
2019-07-21 20:43:00,DJ BORING,Lonely Valentine,299468
2019-07-21 20:47:00,Four Tet,Two Thousand and Seventeen,252255
2019-07-21 20:53:00,Bjørn Torske,K16 Del 1,359362
2019-07-21 20:57:00,Klara Lewis,Twist,200226
2019-07-21 21:01:00,Sophia Loizou,Shadows of Futurity,286677
2019-07-21 21:05:00,Kelly Lee Owens,S.O,192674
2019-07-21 21:09:00,Laurel Halo,Situation,269100
2019-07-21 21:14:00,K-Lone,In The Dust Of This Planet,283826
2019-07-21 21:19:00,Aleksi Perälä,NLL561606933,294623
2019-07-21 21:23:00,Rena Jones,Undercurrent,282933
2019-07-21 21:29:00,Ketev,Akkad,314257
2019-07-21 21:38:00,２８１４,悲哀,563600
2019-07-21 21:42:00,Moiré,Sequence 1,239834
2019-07-21 21:49:00,Auscultation,Promise You'll Haunt Me,393717
2019-07-21 22:02:00,Bjørn Torske,Arthur,425417
2019-07-21 22:10:00,DJ Sports,Reluctant Memory,358051
2019-07-21 22:17:00,Anders Ilar,Riding Metal Mosquitos,439786
2019-07-21 22:23:00,Gacha Bakradze,Gather,374649
2019-07-21 22:28:00,Cool Maritime,Climbing Up,259647
2019-07-21 22:36:00,Beatrice Dillon,Fluo,502161
2019-07-21 23:02:00,Ploy,Footprints In Solid Rock - Beatrice Dillon Remix,338374
2019-07-22 02:17:00,Cremation Lily,Quiet Preparation (Timetable),356245
2019-07-22 02:20:00,Kelly Lee Owens,Anxi.,227258
2019-07-22 02:26:00,Pjusk,Attende,316000
2019-07-22 02:31:00,Flame 1,Fog,313270
2019-07-22 02:36:00,Grant,Mainstream Belief,299941
2019-07-22 02:45:00,Auscultation,Lost You in the Fog,533106
2019-07-22 02:49:00,Mark Pritchard,Give It Your Choir - Instrumental,270546
2019-07-22 02:59:00,Mukqs,ゾッド,582769
2019-07-22 03:05:00,Ulises Conti,"161,1",358862
2019-07-22 03:09:00,Nutrition,Dream Walk,225136
2019-07-22 03:13:00,Psychic Health,Ryso,265387
2019-07-22 03:19:00,Body Boys,Syringe II,314566
2019-07-22 03:24:00,Patricia,Liminal States,303302
2019-07-22 03:27:00,Croatian Amor,Any Life You Want,212261
2019-07-22 04:28:00,Auscultation,Vanda,234913
2019-07-22 05:28:00,Pedro Capó,Calma - Remix,238200
2019-07-22 05:35:00,Pedro Capó,Compartir la Soledad,133680
2019-07-22 06:28:00,Pedro Capó,Calma - Remix,123240
2019-07-22 17:07:00,Pedro Capó,Calma - Remix,238200
2019-07-22 17:11:00,Pedro Capó,Azucar Amargo,234546
2019-07-22 17:15:00,Río Roma,Algo Especial,227353
2019-07-22 17:19:00,Bacilos,Perderme Contigo,246387
2019-07-22 17:22:00,Fonseca,Sólo Contigo,214600
2019-07-22 17:26:00,Pedro Capó,Atrévete-Te-Te,207813
2019-07-22 17:33:00,Nio Garcia,Te Boté - Remix,417920
2019-07-22 17:36:00,Jesse & Joy,Mañana Es Too Late,195213
2019-07-22 17:39:00,Tommy Torres,3 Minutos,180333
2019-07-22 17:42:00,Pedro Capó,La Última Copa,191960
2019-07-22 17:46:00,Natti Natasha,Te Lo Dije,192066
2019-07-22 17:48:00,Juanes,Querer Mejor,171280
2019-07-22 17:52:00,Río Roma,Deberías Estar Aquí,216919
2019-07-22 17:57:00,Pedro Capó,Otro Día Más Sin Verte,262840
2019-07-22 17:59:00,Joey Montana,Viral Pisadinha,143800
2019-07-22 18:03:00,Jesse & Joy,Me Soltaste,229933
2019-07-22 18:08:00,Nio Garcia,Mírame,317440
2019-07-22 18:12:00,Pedro Capó,Qué Más,239786
2019-07-22 18:15:00,Nacho,Déjalo,202893
2019-07-22 18:19:00,Natalia Jiménez,Nunca es Tarde,222550
2019-07-22 18:23:00,Río Roma,Yo Te Prefiero a Ti,212175
2019-07-22 18:26:00,Pedro Capó,"Te Quiero Tanto, Tanto (feat. Kaay)",197746
2019-07-22 18:30:00,Carlos Rivera,Otras Vidas,212093
2019-07-22 18:34:00,Juanes,Para Tu Amor,249000
2019-07-22 18:38:00,Kany Garcia,Remamos,231946
2019-07-22 18:40:00,Ricardo Montaner,Me va a extrañar (aka Unchain My Heart),141094
2019-07-22 18:47:00,Raju Singh,Soniyo,30722
2019-07-22 18:47:00,Sharib Toshi,Maahi,329106
2019-07-22 18:52:00,Raju Singh,O Jaana,269720
2019-07-22 18:58:00,Pranay.M. Rijia,Kaisa Ye Raaz Hai,377493
2019-07-22 19:03:00,Gourov Dasgupta,Bandaa Re,305400
2019-07-22 19:04:00,Raju Singh,Soniyo - From the Heart,39593
2019-07-22 19:10:00,KK,Abhi Abhi,342668
2019-07-22 19:15:00,Sonu Kakkar,Yeh Kasoor,349455
2019-07-22 19:25:00,Ali Azmat,Maula,308196
2019-07-22 19:29:00,Ali Azmat,Yeh Jism,230640
2019-07-22 19:34:00,Rushk,Darta Hoon (Adhoora),324978
2019-07-22 19:40:00,KK,Abhi Abhi,342703
2019-07-22 19:44:00,Unoosha,Hey Walla,231912
2019-07-22 19:49:00,Jagjit Singh,Hothon Se Chhu Lo Tum - From Prem Geet,297706
2019-07-22 19:54:00,Mithoon,Sanam Mere Sanam,344444
2019-07-22 19:59:00,Mohit Chauhan,Masakali,288647
2019-07-22 20:03:00,Anuv Jain,Baarishein,207309
2019-07-22 20:05:00,Jasleen Royal,Jahaan Tu Chala,140305
2019-07-22 20:11:00,Arijit Singh,Laal Ishq,387169
2019-07-22 20:16:00,Prateek Kuhad,Saansein,266041
2019-07-22 20:20:00,Atif Aslam,Baarishein,250922
2019-07-22 20:25:00,Harshdeep Kaur,Grey Walaa Shade,283170
2019-07-22 20:28:00,Shreya Ghoshal,Ghar More Pardesiya,179333
2019-07-22 20:34:00,Papon,Kaun Mera,344471
2019-07-22 20:37:00,Tochi Raina,Pardesi,238074
2019-07-22 20:42:00,Kailash Kher,Allah Ke Bande,246883
2019-07-22 20:45:00,Ritviz,Sage,230204
2019-07-22 20:51:00,Rabbi Shergill,Bulla Ki Jaana Main Kaun,312999
2019-07-22 21:04:00,Amit Trivedi,Aazaadiyan (Pairon Ki Bediyan),168227
2019-07-23 02:10:00,Amit Trivedi,Aazaadiyan (Pairon Ki Bediyan),169850
2019-07-23 02:15:00,Arijit Singh,Kalank (Title Track),311186
2019-07-23 02:19:00,Prateek Kuhad,cold / mess - Audiotree Live Version,260424
2019-07-23 02:25:00,Mohit Chauhan,Tum Se Hi,321225
2019-07-23 02:29:00,The Local Train,Aaftaab,233471
2019-07-23 02:33:00,Ammy Virk,Daryaa,261918
2019-07-23 02:39:00,Shreya Ghoshal,Tabaah Ho Gaye,341731
2019-07-23 02:41:00,Ranveer Singh,Doori,135319
2019-07-23 02:45:00,Asim Azhar,Jo Tu Na Mila,234037
2019-07-23 02:49:00,The Local Train,Dil Mere,211290
2019-07-23 02:53:00,Arijit Singh,Tomake Chai,252316
2019-07-23 02:57:00,Amit Trivedi,Zinda,241962
2019-07-23 03:03:00,Mithoon,Phir Bhi Tumko Chaahunga,351587
2019-07-23 03:06:00,Ash King,"Bandook Meri Laila (From ""A Gentleman"") (feat. Raftaar, Sidharth Malhotra)",214510
2019-07-23 03:11:00,Mohit Chauhan,"Kyun Dil Mera - From ""Paharganj""",281480
2019-07-23 03:15:00,Shivam Pathak,"Ek Dil Ek Jaan (From ""Padmaavat"")",219869
2019-07-23 03:18:00,Ritviz,Jeet,184848
2019-07-23 03:21:00,Sharib Toshi,"Bandeya (feat. Arijit Singh) - From ""Dil Juunglee""",184666
2019-07-23 03:30:00,Abida Parveen,Chaap Tilak,532300
2019-07-23 03:33:00,Darshan Raval,Baarish Lete Aana,213500
2019-07-23 03:41:00,Amit Trivedi,Khari Khari,438013
2019-07-23 03:45:00,Ayushmann Khurrana,"Chan Kitthan (From ""Chan Kitthan"")",269351
2019-07-23 03:49:00,Vishal Mishra,Sajna Ve,197857
2019-07-23 03:54:00,Arijit Singh,"Itni Si Baat Hain (From ""Azhar"")",294846
2019-07-23 03:57:00,Rekha Bhardwaj,Genda Phool,168240
2019-07-23 03:57:00,SomeWhatSuper,Mahi Janda,22594
2019-07-23 04:03:00,Ali Sethi,Ranjish Hi Sahi,336866
2019-07-23 04:08:00,Mithoon,Sanam Mere Sanam,344444
2019-07-23 04:20:00,Harshdeep Kaur,Dilbaro,114168
2019-07-23 04:37:00,Harshdeep Kaur,Dilbaro,2853
2019-07-23 14:59:00,Jadu Heart,The Omen,287500
2019-07-23 15:01:00,Catching Flies,Satisfied,87203
2019-07-23 15:05:00,Babeheaven,November,222354
2019-07-23 15:10:00,Satin Jackets,Automatic,276693
2019-07-23 15:39:00,Yumi Zouma,Bruise,83592
2019-07-23 15:42:00,Yumi Zouma,Bruise,139910
2019-07-23 19:22:00,Yumi Zouma,Bruise,9391
2019-07-23 19:27:00,Rhye,Needed,318693
2019-07-23 19:31:00,Jadu Heart,The Cure,238000
2019-07-23 19:35:00,Instupendo,Pinch,210745
2019-07-23 19:38:00,Cautious Clay,SIDEWINDER,170164
2019-07-23 19:44:00,Little Dragon,In My House,356833
2019-07-23 19:49:00,SG Lewis,Again (feat. Totally Enormous Extinct Dinosaurs),326732
2019-07-23 19:54:00,Audio Dope,Unconditional - Moullinex Remix,294959
2019-07-23 19:59:00,Rhye,Feel Your Weight - Poolside Remix,310133
2019-07-23 20:03:00,Laura Misch,Night Drive,256551
2019-07-23 20:08:00,Maribou State,Kingdom (feat. North Downs),250398
2019-07-23 20:09:00,Tourist,Someone Else,60004
2019-07-23 20:15:00,Tourist,Someone Else,245811
2019-07-23 20:19:00,Bibio,The Art Of Living,196933
2019-07-23 20:24:00,SALES,Rainy Day Loop (Parent's House Remix),298000
2019-07-23 20:26:00,TOKiMONSTA,Strange Froot (feat. Ambré),153297
2019-07-23 20:33:00,Amtrac,Madness to Mayhem,422000
2019-07-23 20:37:00,Jadu Heart,Galaxy Surfing,202500
2019-07-23 20:41:00,Maribou State,Nervous Tics (feat. Holly Walker),254020
2019-07-23 20:44:00,Shlohmo,Wen 222,202597
2019-07-23 20:50:00,Totally Enormous Extinct Dinosaurs,"Energy Fantasy - Baltra ""Vocal"" Remix",356080
2019-07-23 20:54:00,Bibio,Old Graffiti,208853
2019-07-23 21:07:00,Tourist,Emily,183025
2019-07-24 03:03:00,Tourist,Emily,48857
2019-07-24 03:07:00,Cool Company,Habit - Blood Cultures Remix,213028
2019-07-24 03:11:00,Unknown Mortal Orchestra,Hunnybee,268333
2019-07-24 03:14:00,Medasin,Always Afternoon,183226
2019-07-24 03:19:00,Franc Moody,She's Too Good for Me,241395
2019-07-24 03:22:00,Wild Nothing,Blue Wings,225893
2019-07-24 03:32:00,Rhye,Waste - RY X Remix,553413
2019-07-24 03:34:00,Tropics,Opioid (feat. Petite Noir),171371
2019-07-24 03:57:00,Babeheaven,November,222354
2019-07-24 04:20:00,Laura Misch,Night Drive,256551
2019-07-24 04:23:00,Tropics,Opioid (feat. Petite Noir),171371
2019-07-24 04:28:00,Daphni,Sizzling,29524
2019-07-24 04:28:00,Jai Paul,He,268000
2019-07-24 04:29:00,Jadu Heart,Wanderlife,26463
2019-07-24 04:32:00,The Lumineers,It Wasn't Easy To Be Happy For You,214066
2019-07-24 04:33:00,The Lumineers,Donna,24506
2019-07-24 04:35:00,Bishop Briggs,CHAMPION,173146
2019-07-24 04:36:00,Bishop Briggs,CHAMPION,2200
2019-07-24 04:39:00,Gavin Luke,Gone,178926
2019-07-24 04:39:00,Wynton Davidson,Omnipresence,3377
2019-07-24 04:40:00,When Chai Met Toast,Run Closer,22500
2019-07-24 04:40:00,Wynton Davidson,Omnipresence,17533
2019-07-24 04:51:00,Arjun & The Teenage Men,She,60160
2019-07-24 05:04:00,Arjun & The Teenage Men,She,211297
2019-07-24 05:10:00,Motherjane,Mindstreet,373546
2019-07-24 05:15:00,Something Relevant,Liar Liar,280965
2019-07-24 05:18:00,Mahesh,Make Your Move,225946
2019-07-24 05:21:00,The Revisit Project,Did You Just Assume My Fender?,155943
2019-07-24 06:14:00,Anoushka Shankar,Lasya,278520
2019-07-24 06:19:00,Junoon,Sayonee,304333
2019-07-24 06:38:00,Farhan Saeed,Latthay Di Chaadar,461866
2019-07-24 07:32:00,Farhan Saeed,Latthay Di Chaadar,17334
2019-07-24 07:37:00,The Local Train,Aaoge Tum Kabhi,313163
2019-07-24 07:38:00,Quratulain Balouch,Sammi Meri Waar,82999
2019-07-24 07:44:00,Nusrat Fateh Ali Khan,Longing,335600
2019-07-24 07:59:00,Nitin Sawhney,Homelands,362266
2019-07-24 08:01:00,The Family Cheese,The Rap Medley,64309
2019-07-24 08:06:00,Mekaal Hasan Band,Darbari,316053
2019-07-24 08:10:00,Nitin Sawhney,Say You Will (feat. Nicki Wells & Jon Bilbrough),229066
2019-07-24 08:15:00,Palash Sen,Maeri,332733
2019-07-24 08:19:00,Call,Jilawatan,258616
2019-07-24 08:51:00,Golden Vessel,Hesitate,106720
2019-07-24 14:36:00,Golden Vessel,Hesitate,144954
2019-07-24 14:39:00,Empress Of,I Don't Even Smoke Weed,206320
2019-07-24 14:43:00,Tora,Morphine,216666
2019-07-24 14:49:00,Tourist,Apollo,392489
2019-07-24 14:54:00,Mansionair,We Could Leave,266281
2019-07-24 14:57:00,Instupendo,Cinderella,185730
2019-07-24 15:01:00,Tourist,Love Theme,269160
2019-07-24 15:04:00,slenderbodies,dewdrops,179920
2019-07-24 15:10:00,Oscar Jerome,Gravitate,341826
2019-07-24 15:15:00,Shlohmo,Rock Music,278644
2019-07-24 15:19:00,Litany,PS2,257677
2019-07-24 15:23:00,MorMor,Some Place Else,214885
2019-07-24 15:25:00,Chrome Sparks,In2 Your Love,134826
2019-07-24 15:30:00,Tourist,Elixir,306724
2019-07-24 15:33:00,Ryan Hemsworth,Machine Manners,159423
2019-07-24 15:36:00,Yumi Zouma,In Camera,204386
2019-07-24 15:37:00,Bibio,Curls,52377
2019-07-24 19:46:00,Bibio,Curls,145560
2019-07-24 19:50:00,Yuno,Fall In Love,225973
2019-07-24 19:55:00,Elder Island,Bamboo,262650
2019-07-24 19:59:00,MorMor,Outside,238020
2019-07-24 20:02:00,Jai Paul,Desert River - Unfinished,185480
2019-07-24 20:05:00,DRAMA,Dead and Gone,204230
2019-07-24 20:10:00,Tourist,Hearts,257614
2019-07-24 20:13:00,Lyves,Faded,233372
2019-07-24 20:16:00,George FitzGerald,Roll Back - Single Mix,184989
2019-07-24 20:21:00,Rhye,Patience,254346
2019-07-24 20:25:00,Maribou State,Glasshouses,225910
2019-07-24 20:26:00,SG Lewis,Rest,102673
2019-07-24 20:30:00,ANIMA!,Overflow,227506
2019-07-24 20:34:00,Twin Shadow,Truly,246428
2019-07-24 20:39:00,Jadu Heart,Forgotten Ghosts,312000
2019-07-24 20:43:00,SG Lewis,Sunsets - Pt. 2,216497
2019-07-24 20:47:00,TENDER,Lower,239053
2019-07-24 20:49:00,TOKiMONSTA,Dream Chorus,139426
2019-07-24 20:53:00,Palace,Martyr,248853
2019-07-24 20:57:00,Jadu Heart,Galaxy Surfing,202500
2019-07-24 21:00:00,Cautious Clay,SIDEWINDER,170164
2019-07-24 21:09:00,Rhye,Waste - RY X Remix,553413
2019-07-24 21:12:00,Bibio,The Art Of Living,196933
2019-07-24 21:16:00,Shlohmo,Wen 222,202597
2019-07-24 21:20:00,Laura Misch,Night Drive,256551
2019-07-24 21:23:00,Medasin,Always Afternoon,183226
2019-07-24 21:29:00,Little Dragon,In My House,356833
2019-07-24 21:34:00,SG Lewis,Again (feat. Totally Enormous Extinct Dinosaurs),326732
2019-07-24 21:38:00,Jadu Heart,The Cure,238000
2019-07-24 21:43:00,Jadu Heart,The Omen,287500
2019-07-24 21:46:00,TOKiMONSTA,Strange Froot (feat. Ambré),153297
2019-07-24 21:50:00,Tourist,Someone Else,247266
